Day,Clicks
21/10/2022,1574
22/10/2022,431
23/10/2022,435
24/10/2022,1561
25/10/2022,1759
26/10/2022,2034
27/10/2022,1556
28/10/2022,1226
29/10/2022,347
30/10/2022,410
31/10/2022,1346
01/11/2022,1597
02/11/2022,1695
03/11/2022,1744
04/11/2022,1141
05/11/2022,324
06/11/2022,333
07/11/2022,1373
08/11/2022,1344
09/11/2022,1413
10/11/2022,1280
11/11/2022,949
12/11/2022,251
13/11/2022,249
14/11/2022,1078
15/11/2022,1093
16/11/2022,956
17/11/2022,1048
18/11/2022,912
19/11/2022,267
20/11/2022,255
21/11/2022,783
22/11/2022,749
23/11/2022,610
24/11/2022,196
25/11/2022,234
26/11/2022,150
27/11/2022,162
28/11/2022,643
29/11/2022,905
30/11/2022,1058
01/12/2022,1113
02/12/2022,918
03/12/2022,291
04/12/2022,276
05/12/2022,978
06/12/2022,1125
07/12/2022,1138
08/12/2022,947
09/12/2022,765
10/12/2022,200
11/12/2022,174
12/12/2022,617
13/12/2022,694
14/12/2022,746
15/12/2022,716
16/12/2022,582
17/12/2022,128
18/12/2022,105
19/12/2022,358
20/12/2022,446
21/12/2022,419
22/12/2022,348
23/12/2022,189
24/12/2022,52
25/12/2022,29
26/12/2022,84
27/12/2022,251
28/12/2022,290
29/12/2022,308
30/12/2022,212
31/12/2022,87
01/01/2023,67
02/01/2023,187
03/01/2023,454
04/01/2023,564
05/01/2023,655
06/01/2023,584
07/01/2023,150
08/01/2023,174
09/01/2023,666
10/01/2023,769
11/01/2023,893
12/01/2023,889
13/01/2023,698
14/01/2023,186
15/01/2023,170
16/01/2023,478
17/01/2023,813
18/01/2023,871
19/01/2023,849
20/01/2023,690
21/01/2023,137
22/01/2023,149
23/01/2023,733
24/01/2023,906
25/01/2023,1013
26/01/2023,1029
27/01/2023,731
28/01/2023,202
29/01/2023,208
30/01/2023,726
31/01/2023,771
01/02/2023,897
02/02/2023,914
03/02/2023,780
04/02/2023,212
05/02/2023,194
06/02/2023,729
07/02/2023,695
08/02/2023,675
09/02/2023,680
10/02/2023,503
11/02/2023,155
12/02/2023,142
13/02/2023,446
14/02/2023,486
15/02/2023,513
16/02/2023,566
17/02/2023,450
18/02/2023,126
19/02/2023,96
20/02/2023,324
21/02/2023,575
22/02/2023,565
23/02/2023,575
24/02/2023,410
25/02/2023,125
26/02/2023,121
27/02/2023,572
28/02/2023,909
01/03/2023,837
02/03/2023,789
03/03/2023,577
04/03/2023,203
05/03/2023,185
06/03/2023,569
07/03/2023,634
08/03/2023,863
09/03/2023,884
10/03/2023,733
11/03/2023,244
12/03/2023,255
13/03/2023,807
14/03/2023,889
15/03/2023,847
16/03/2023,759
17/03/2023,602
18/03/2023,156
19/03/2023,176
20/03/2023,740
21/03/2023,891
22/03/2023,1039
23/03/2023,1001
24/03/2023,821
25/03/2023,229
26/03/2023,212
27/03/2023,996
28/03/2023,1119
29/03/2023,1120
30/03/2023,1107
31/03/2023,831
01/04/2023,250
02/04/2023,224
03/04/2023,891
04/04/2023,972
05/04/2023,1001
06/04/2023,828
07/04/2023,529
08/04/2023,151
09/04/2023,113
10/04/2023,623
11/04/2023,856
12/04/2023,856
13/04/2023,939
14/04/2023,748
15/04/2023,215
16/04/2023,210
17/04/2023,992
18/04/2023,1238
19/04/2023,1284
20/04/2023,1200
21/04/2023,979
22/04/2023,310
23/04/2023,336
24/04/2023,975
25/04/2023,1126
26/04/2023,1184
