Day,Clicks,,,,
2023-01-03,454,,,,
2023-01-04,564,,,,
2023-01-05,655,,,,
2023-01-06,584,,,,
2023-01-07,150,,,,
2023-01-08,174,,,,
2023-01-09,666,,,,
2023-01-10,769,,,,
2023-01-11,893,,,,
2023-01-12,889,,,,
2023-01-13,698,,,,
2023-01-14,186,,,,
2023-01-15,170,,,,
2023-01-16,478,,,,
2023-01-17,813,,,,
2023-01-18,871,,,,
2023-01-19,849,,,,
2023-01-20,690,,,,
2023-01-21,137,,,,
2023-01-22,149,,,,
2023-01-23,733,,,,
2023-01-24,906,,,,
2023-01-25,1013,,,,
2023-01-26,1029,,,,
2023-01-27,731,,,,
2023-01-28,202,,,,
2023-01-29,208,,,,
2023-01-30,726,,,,
2023-01-31,771,,,,
2023-02-01,897,,,,
2023-02-02,914,,,,
2023-02-03,780,,,,
2023-02-04,212,,,,
2023-02-05,194,,,,
2023-02-06,729,,,,
2023-02-07,695,,,,
2023-02-08,675,,,,
2023-02-09,680,,,,
2023-02-10,503,,,,
2023-02-11,155,,,,
2023-02-12,142,,,,
2023-02-13,446,,,,
2023-02-14,486,,,,
2023-02-15,513,,,,
2023-02-16,566,,,,
2023-02-17,450,,,,
2023-02-18,126,,,,
2023-02-19,96,,,,
2023-02-20,324,,,,
2023-02-21,575,,,,
2023-02-22,565,,,,
2023-02-23,575,,,,
2023-02-24,410,,,,
2023-02-25,125,,,,
2023-02-26,121,,,,
2023-02-27,572,,,,
2023-02-28,909,,,,
2023-03-01,837,,,,
2023-03-02,789,,,,
2023-03-03,577,,,,
2023-03-04,203,,,,
2023-03-05,185,,,,
2023-03-06,569,,,,
2023-03-07,634,,,,
2023-03-08,863,,,,
2023-03-09,884,,,,
2023-03-10,733,,,,
2023-03-11,244,,,,
2023-03-12,255,,,,
2023-03-13,807,,,,
2023-03-14,889,,,,
2023-03-15,847,,,,
2023-03-16,759,,,,
2023-03-17,602,,,,
2023-03-18,156,,,,
2023-03-19,176,,,,
2023-03-20,740,,,,
2023-03-21,891,,,,
2023-03-22,1039,,,,
2023-03-23,1001,,,,
2023-03-24,821,,,,
2023-03-25,229,,,,
2023-03-26,212,,,,
2023-03-27,996,,,,
2023-03-28,1119,,,,
2023-03-29,1120,,,,
2023-03-30,1107,,,,
2023-03-31,831,,,,
2023-04-01,250,,,,
2023-04-02,224,,,,
2023-04-03,891,,,,
2023-04-04,972,,,,
2023-04-05,1001,,,,
2023-04-06,828,,,,
2023-04-07,529,,,,
2023-04-08,151,,,,
2023-04-09,113,,,,
2023-04-10,623,,,,
2023-04-11,856,,,,
2023-04-12,856,,,,
2023-04-13,939,,,,
2023-04-14,748,,,,
2023-04-15,215,,,,
2023-04-16,210,,,,
2023-04-17,992,,,,
2023-04-18,1238,,,,
2023-04-19,1284,,,,
2023-04-20,1200,,,,
2023-04-21,979,,,,
2023-04-22,310,,,,
2023-04-23,336,,,,
2023-04-24,975,,,,
2023-04-25,1126,,,,
2023-04-26,1184,,,,
2023-04-27,1188,,,,
2023-04-28,909,,,,
2023-04-29,271,,,,
2023-04-30,297,,,,
2023-05-01,1123,,,,
2023-05-02,1222,,,,
2023-05-03,1231,,,,
2023-05-04,1222,,,,
2023-05-05,922,,,,
2023-05-06,264,,,,
2023-05-07,272,,,,
2023-05-08,973,,,,
2023-05-09,1147,,,,
2023-05-10,1080,,,,
2023-05-11,1054,,,,
2023-05-12,857,,,,
2023-05-13,209,,,,
2023-05-14,197,,,,
2023-05-15,771,,,,
2023-05-16,881,,,,
2023-05-17,1090,,,,
2023-05-18,941,,,,
2023-05-19,762,,,,
2023-05-20,199,,,,
2023-05-21,176,,,,
2023-05-22,1046,,,,
2023-05-23,1292,,,,
2023-05-24,1256,,,,
2023-05-25,927,,,,
2023-05-26,625,,,,
2023-05-27,102,,,,
2023-05-28,93,,,,
2023-05-29,173,,,,
2023-05-30,614,,,,
2023-05-31,903,,,,
2023-06-01,953,,,,
2023-06-02,784,,,,
2023-06-03,201,,,,
2023-06-04,250,,,,
2023-06-05,1219,,,,
2023-06-06,1545,,,,
2023-06-07,1543,,,,
2023-06-08,1452,,,,
2023-06-09,1091,,,,
2023-06-10,273,,,,
2023-06-11,241,,,,
2023-06-12,946,,,,
2023-06-13,1229,,,,
2023-06-14,1201,,,,
2023-06-15,1173,,,,
2023-06-16,715,,,,
2023-06-17,166,,,,
2023-06-18,166,,,,
2023-06-19,709,,,,
2023-06-20,1208,,,,
2023-06-21,1271,,,,
2023-06-22,1156,,,,
2023-06-23,1045,,,,
2023-06-24,299,,,,
2023-06-25,282,,,,
2023-06-26,1075,,,,
2023-06-27,1381,,,,
2023-06-28,1370,,,,
2023-06-29,1160,,,,
2023-06-30,810,,,,
2023-07-01,202,,,,
2023-07-02,165,,,,
2023-07-03,491,,,,
2023-07-04,309,,,,
2023-07-05,864,,,,
2023-07-06,902,,,,
2023-07-07,736,,,,
2023-07-08,208,,,,
2023-07-09,203,,,,
2023-07-10,921,,,,
2023-07-11,1168,,,,
2023-07-12,1181,,,,
2023-07-13,1143,,,,
2023-07-14,834,,,,
2023-07-15,239,,,,
2023-07-16,251,,,,
2023-07-17,1026,,,,
2023-07-18,1229,,,,
2023-07-19,1214,,,,
2023-07-20,1126,,,,
2023-07-21,979,,,,
2023-07-22,271,,,,
2023-07-23,292,,,,
2023-07-24,1169,,,,
2023-07-25,1413,,,,
2023-07-26,1431,,,,
2023-07-27,1290,,,,
2023-07-28,806,,,,
2023-07-29,190,,,,
2023-07-30,202,,,,
2023-07-31,878,,,,
2023-08-01,1219,,,,
2023-08-02,1403,,,,
2023-08-03,1222,,,,
2023-08-04,918,,,,
2023-08-05,240,,,,
2023-08-06,208,,,,
2023-08-07,890,,,,
2023-08-08,1159,,,,
